date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,vol
2018-07-17,322.69,324.74,308.5,308.81,6996232,322.69,324.74,308.5,308.81,6996232,0.0,1.0,1
2018-07-18,323.85,325.5,316.25,325.0,5624211,323.85,325.5,316.25,325.0,5624211,0.0,1.0,0
2018-07-19,320.23,323.54,314.01,316.33,5915345,320.23,323.54,314.01,316.33,5915345,0.0,1.0,0
2018-07-20,313.58,323.24,311.7093,321.23,5166547,313.58,323.24,311.7093,321.23,5166547,0.0,1.0,0
2018-07-23,303.2,305.5,292.8601,301.84,10992947,303.2,305.5,292.8601,301.84,10992947,0.0,1.0,0
2018-07-24,297.43,307.7171,292.5452,304.4209,9590784,297.43,307.7171,292.5452,304.4209,9590784,0.0,1.0,0
2018-07-25,308.74,309.62,294.5025,296.74,7094180,308.74,309.62,294.5025,296.74,7094180,0.0,1.0,1
2018-07-26,306.65,310.7,303.6411,304.85,4630522,306.65,310.7,303.6411,304.85,4630522,0.0,1.0,0
2018-07-27,297.18,307.6933,295.3404,307.25,5703326,297.18,307.6933,295.3404,307.25,5703326,0.0,1.0,1
2018-07-30,290.17,296.1,286.13,295.9,6814072,290.17,296.1,286.13,295.9,6814072,0.0,1.0,0
2018-07-31,298.14,298.32,289.07,292.25,5076916,298.14,298.32,289.07,292.25,5076916,0.0,1.0,0
2018-08-01,300.84,303.0,293.0,297.99,10129430,300.84,303.0,293.0,297.99,10129430,0.0,1.0,0
2018-08-02,349.54,349.99,323.16,328.44,23214962,349.54,349.99,323.16,328.44,23214962,0.0,1.0,1
2018-08-03,348.17,355.0,342.53,347.81,13656486,348.17,355.0,342.53,347.81,13656486,0.0,1.0,0
2018-08-06,341.99,354.98,341.82,345.46,8564331,341.99,354.98,341.82,345.46,8564331,0.0,1.0,0
2018-08-07,379.57,387.46,339.1501,343.84,30875768,379.57,387.46,339.1501,343.84,30875768,0.0,1.0,1
2018-08-08,370.34,382.64,367.12,369.09,24571163,370.34,382.64,367.12,369.09,24571163,0.0,1.0,0
2018-08-09,352.45,367.01,345.73,365.55,17183811,352.45,367.01,345.73,365.55,17183811,0.0,1.0,1
